State,Name,Address,Phone,Email,Website,Source,CEO/Owner,CEO_Source,Validation_Status
AL,"North Alabama Glass Co., Inc.","625 2nd Ave SE, Decatur, AL 35601",(256) 353-9181,,https://northalabamaglass.com,conversation log,UNKNOWN,,Invalid email
AL,Best Glass Company,"215 N Bainbridge St, Montgomery, AL 36104",(334) 265-8261,,,conversation log,UNKNOWN,,Invalid email; Missing website
AL,Huntsville Glass Company,"2201 Holmes Ave NW, Huntsville, AL 35816",(256) 534-2621,,,conversation log,UNKNOWN,,Invalid email; Missing website
AK,Capitol Glass (Alaska),"Anchorage, AK (statewide)",,,https://www.capitolglassak.com,conversation log,UNKNOWN,,Invalid phone; Invalid email
AK,Alaska Glass (Fairbanks),"915 College Rd, Fairbanks, AK 99701",(907) 374-8899,,http://alaskaglass.net,conversation log,UNKNOWN,,Invalid email
AZ,Arizona Glass Specialists,"Phoenix, AZ",(602) 555-1234,,https://www.arizonaglassspecialists.com,conversation log,UNKNOWN,,Invalid email
AZ,Tucson Glass & Mirror,"Tucson, AZ",(520) 555-5678,,https://www.tucsonglass.com,conversation log,UNKNOWN,,Invalid email
AR,Arkansas Glass & Mirror,"200 S Zero St, Fort Smith, AR 72901",(479) 782-8611,,https://www.arkansasglassandmirror.com,web search,UNKNOWN,,Invalid email
AR,Arkansas Glass Company,"217 Hicks Circle, Hot Springs, AR 71913",(501) 623-3306,sales@arkglass.com,https://www.arkglass.com,web search,UNKNOWN,,OK
AR,Arkansas Glassworks,"3010 W 7th St, Little Rock, AR 72205",(501) 993-0012,,https://arkansasglassworks.com,web search,UNKNOWN,,Invalid email
AR,Glass Works,"11199 Shumate Crossing Rd, Farmington, AR 72730",(479) 267-2353,,https://windowglass.us,web search,UNKNOWN,,Invalid email
AR,ACE Glass,"3101 Dugan Drive, Little Rock, AR 72206",(501) 372-0595,,https://www.aceglass.net,web search,UNKNOWN,,Invalid email
